DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
7.3,7.9,693.0,0.5,1.0,161.0,173.0,59.0273011594203
5.0,7.6,1676.0,1.8,8.0,329.0,174.0,81.08651449275362
6.0,7.7,1863.0,8.6,1.0,47.0,1183.0,131.4708315942029
5.3,7.8,817.0,2.8,1.0,9.0,23.0,83.90772028985508
4.5,8.3,1287.0,1.5,11.0,116.0,5.0,88.48628927536234
6.8,7.2,55.0,1.5,0.0,4.0,2.0,54.37572260869565
6.8,8.2,1862.0,2.5,0.87,7.0,64.0,81.16032260869565
5.0,8.0,55.0,0.7,0.0,4.0,10.0,69.84344782608694
3.0,7.7,55.0,0.4,0.0,4.0,10.0,71.60158695652176
6.7,8.1,2520.0,7.2,1.0,6.0,41.0,121.64162289855074
8.2,8.4,606.0,2.9,0.0,4.0,10.0,80.98828521739131
5.6,7.5,41.0,2.0,0.08,7022.0,13410.0,227.8359927536232
5.5,6.7,209.0,0.8,0.17,1893.0,2915.0,88.19367971014493
5.5,7.1,123.0,1.5,0.09,3293.0,6264.0,132.98319304347825
5.3,7.3,182.0,1.5,0.08,1976.0,3080.0,107.6230736231884
6.0,7.6,100.0,1.2,0.17,5129.0,6086.0,177.14228492753622
5.7,6.9,111.0,1.0,0.14,939.0,3061.0,71.39778579710145
6.4,7.1,140.0,1.1,0.1,4464.0,7908.0,151.35822376811592
6.2,7.8,44.0,2.0,0.06,9429.0,9320.0,282.45084434782615
6.1,7.6,43.0,1.8,0.06,6668.0,9554.0,216.72269130434785
7.0,6.9,64.0,1.1,0.09,1641.0,2841.0,81.47884869565218
6.6,6.5,62.0,1.0,0.14,4073.0,7190.0,130.2830031884058
7.0,6.8,304.0,2.0,0.49,12140.0,23867.0,324.4598020289856
7.0,7.0,55.0,1.2,0.66,1298.0,2813.0,76.57392869565216
6.3,7.6,213.0,1.5,0.06,3803.0,7069.0,149.27911739130437
6.7,6.8,83.0,1.2,0.17,2140.0,3559.0,93.27009623188404
